symptom,indikation,pflanze,channel,matches
Blähungen,vermehrte Schweißsekretion,Salbei,evidenz_basiert,2
Blähungen,vermehrte Schweißsekretion,Salbei,traditionell_hmpc,2
leichte krampfartige Magen-Darm-Beschwerden,dyspeptische Beschwerden,Rosmarin,traditionell_hmpc,2
Appetitlosigkeit,Behandlung leichter krampfartiger Beschwerden im Magen-Darm-Bereich,Schafgarbe,evidenz_basiert,1
Appetitlosigkeit,Behandlung leichter krampfartiger Beschwerden im Magen-Darm-Bereich,Schafgarbe,traditionell_hmpc,1
Appetitlosigkeit,krampfartige Beschwerden im Unterleib,Schafgarbe,evidenz_basiert,1
Appetitlosigkeit,krampfartige Beschwerden im Unterleib,Schafgarbe,traditionell_hmpc,1
Appetitlosigkeit,leichte krampfartige Beschwerden im Magen-Darm-Bereich,Schafgarbe,evidenz_basiert,1
Appetitlosigkeit,leichte krampfartige Beschwerden im Magen-Darm-Bereich,Schafgarbe,traditionell_hmpc,1
Appetitlosigkeit,schmerzhafte Krampfzustände im Becken der Frau,Schafgarbe,evidenz_basiert,1
Appetitlosigkeit,schmerzhafte Krampfzustände im Becken der Frau,Schafgarbe,traditionell_hmpc,1
Beinschwellungen,Krampfadern,(Gemeine) Rosskastanie,evidenz_basiert,1
Bluterguss,Krampfadern,(Gemeine) Rosskastanie,traditionell_hmpc,1
Blähungen,Angespanntheit,Melisse,traditionell_hmpc,1
Blähungen,Anregung der Diurese,Löwenzahn,evidenz_basiert,1
Blähungen,Anregung der Diurese,Löwenzahn,traditionell_hmpc,1
Blähungen,Appetitlosigkeit,Enzian,evidenz_basiert,1
Blähungen,Appetitlosigkeit,Löwenzahn,evidenz_basiert,1
Blähungen,Appetitlosigkeit,Löwenzahn,traditionell_hmpc,1
Blähungen,Appetitlosigkeit,Schafgarbe,traditionell_hmpc,1
Blähungen,Appetitlosigkeit,Teufelskralle,traditionell_hmpc,1
Blähungen,Aufstoßen,Kamille,traditionell_hmpc,1
Blähungen,Befindensstörungen,(Echter) Lavendel,evidenz_basiert,1
Blähungen,"Behandlung kleiner, oberflächlicher Wunden",Schafgarbe,traditionell_hmpc,1
Blähungen,Behandlung leichter Hautentzündungen,Salbei,evidenz_basiert,1
Blähungen,Behandlung leichter Hautentzündungen,Salbei,traditionell_hmpc,1
Blähungen,Behandlung leichter krampfartiger Beschwerden im Magen-Darm-Bereich,Schafgarbe,traditionell_hmpc,1
Blähungen,Besserung leichter Stresssymptome,Melisse,traditionell_hmpc,1
Blähungen,Besserung leichter Verdauungsbeschwerden,Löwenzahn,evidenz_basiert,1
Blähungen,Besserung leichter Verdauungsbeschwerden,Löwenzahn,traditionell_hmpc,1
